,customer_id,gender,date,value,predicted_gender,week_number_of_year
0,1000,0,2017-01-01 00:11:31,198.5,1,52
1,1001,0,2017-01-01 00:29:56,338.0,1,52
2,1002,1,2017-01-01 01:30:31,733.0,1,52
3,1003,1,2017-01-01 01:34:22,772.0,1,52
4,1004,0,2017-01-01 03:11:54,508.0,1,52
5,1005,1,2017-01-01 10:08:05,338.0,0,52
6,1006,1,2017-01-01 15:42:57,1526.43,1,52
7,1007,0,2017-01-01 15:59:50,168.0,0,52
8,1008,0,2017-01-01 18:01:04,207.99,0,52
9,1009,1,2017-01-01 19:27:17,283.0,1,52
10,1010,1,2017-01-01 19:41:40,1018.0,1,52
11,1011,1,2017-01-01 22:04:54,596.0,1,52
12,1012,1,2017-01-01 22:08:16,151.0,0,52
13,1013,0,2017-01-01 23:51:58,78.0,0,52
14,1014,1,2017-01-02 00:28:42,98.5,1,1
15,1015,0,2017-01-02 01:20:53,255.0,0,1
16,1016,1,2017-01-02 01:24:13,311.39,0,1
17,1017,0,2017-01-02 01:42:44,1000.0,0,1
18,1018,0,2017-01-02 01:52:59,274.6,0,1
19,1017,0,2017-01-02 02:08:52,186.0,0,1
20,1019,0,2017-01-02 02:17:03,350.2,1,1
21,1020,0,2017-01-02 02:45:09,456.0,1,1
22,1021,1,2017-01-02 03:18:18,421.56,1,1
23,1022,0,2017-01-02 03:36:59,304.3,0,1
24,1023,0,2017-01-02 04:07:51,10.0,1,1
25,1024,1,2017-01-02 05:19:48,747.5,1,1
26,1025,0,2017-01-02 05:19:49,301.6,1,1
27,1026,0,2017-01-02 14:52:06,316.89,0,1
28,1027,0,2017-01-02 15:49:44,10.0,1,1
29,1028,0,2017-01-02 16:41:13,161.5,1,1
30,1029,0,2017-01-02 17:01:25,166.0,0,1
31,1030,0,2017-01-02 17:37:26,89.0,0,1
32,1031,0,2017-01-02 17:57:04,226.0,1,1
33,1032,1,2017-01-02 18:23:06,434.0,1,1
34,1033,0,2017-01-02 18:54:17,111.49,1,1
35,1034,1,2017-01-02 19:33:40,89.0,1,1
36,1035,0,2017-01-02 20:01:31,10.0,1,1
37,1036,0,2017-01-02 20:36:49,447.85,1,1
38,1037,0,2017-01-02 21:06:35,499.0,1,1
39,1038,1,2017-01-02 21:29:41,930.0,1,1
40,1039,0,2017-01-02 22:49:09,295.36,1,1
41,1040,0,2017-01-02 22:54:55,247.0,0,1
42,1041,0,2017-01-02 23:25:26,233.2,0,1
43,1042,0,2017-01-02 23:57:53,486.0,1,1
44,1043,1,2017-01-03 01:02:01,229.74,1,1
45,1044,1,2017-01-03 01:47:44,302.89,1,1
46,1045,0,2017-01-03 02:13:49,432.0,0,1
47,1046,0,2017-01-03 03:54:06,10.0,1,1
48,1047,1,2017-01-03 05:22:02,144.0,1,1
49,1048,0,2017-01-03 11:24:25,612.0,0,1
50,1049,0,2017-01-03 14:32:13,392.0,1,1
51,1050,1,2017-01-03 15:27:29,169.0,1,1
52,1051,0,2017-01-03 16:47:01,313.0,0,1
53,1052,1,2017-01-03 17:29:33,307.14,1,1
54,1053,0,2017-01-03 17:32:34,298.0,0,1
55,1054,1,2017-01-03 19:01:18,308.0,1,1
56,1055,1,2017-01-03 19:18:56,251.94,1,1
57,1008,0,2017-01-03 19:23:39,121.98,0,1
58,1056,0,2017-01-03 19:40:04,270.01,1,1
59,1057,1,2017-01-03 19:45:37,184.08,1,1
60,1058,0,2017-01-03 20:07:26,216.0,0,1
61,1059,1,2017-01-03 20:38:51,200.0,1,1
62,1060,0,2017-01-03 20:41:00,79.0,1,1
63,1061,1,2017-01-03 21:06:06,254.22,1,1
64,1060,0,2017-01-03 21:14:09,140.45,1,1
65,1062,0,2017-01-03 21:29:33,146.0,0,1
66,1063,1,2017-01-03 21:43:48,312.0,1,1
67,1064,1,2017-01-03 21:49:20,144.0,1,1
68,1065,0,2017-01-03 22:15:57,150.0,1,1
69,1066,1,2017-01-03 22:17:59,89.0,1,1
70,1067,1,2017-01-03 22:32:19,406.9,1,1
71,1068,0,2017-01-03 22:53:18,298.0,1,1
72,1069,1,2017-01-03 23:09:11,108.0,1,1
73,1070,0,2017-01-03 23:52:55,338.0,0,1
74,1071,1,2017-01-04 00:50:01,492.0,1,1
75,1072,0,2017-01-04 01:07:03,150.25,1,1
76,1073,0,2017-01-04 01:16:54,357.61,1,1
77,1074,1,2017-01-04 02:28:21,258.0,1,1
78,1075,1,2017-01-04 02:36:35,270.01,1,1
79,1076,0,2017-01-04 02:47:15,166.0,1,1
80,1077,0,2017-01-04 03:12:43,1188.5,0,1
81,1078,1,2017-01-04 03:36:39,246.06,1,1
82,1079,0,2017-01-04 03:44:32,1476.0,0,1
83,1080,0,2017-01-04 03:47:01,10.86,1,1
84,1081,0,2017-01-04 04:34:23,298.0,1,1
85,1082,0,2017-01-04 05:32:21,0.0,0,1
86,1083,0,2017-01-04 10:49:08,267.4,0,1
87,1084,1,2017-01-04 12:02:50,863.0,1,1
88,1085,1,2017-01-04 12:47:41,10.0,1,1
89,1086,1,2017-01-04 13:56:55,0.0,1,1
90,1087,0,2017-01-04 15:49:28,268.0,0,1
91,1088,0,2017-01-04 16:20:46,50.0,0,1
92,1089,0,2017-01-04 16:36:01,388.0,0,1
93,1090,0,2017-01-04 19:15:46,98.2,0,1
94,1091,0,2017-01-04 19:20:34,118.0,1,1
95,1092,0,2017-01-04 19:39:58,346.5,0,1
96,1093,1,2017-01-04 19:50:25,146.0,1,1
97,1094,1,2017-01-04 20:59:11,280.9,0,1
98,1095,1,2017-01-04 21:21:52,356.0,1,1
99,1096,0,2017-01-04 21:56:26,629.2,0,1
100,1097,0,2017-01-04 23:04:30,1928.93,1,1
101,1098,0,2017-01-04 23:47:38,58.0,1,1
102,1099,0,2017-01-05 00:55:53,397.9,0,1
103,1100,0,2017-01-05 01:06:23,10.89,1,1
104,1101,1,2017-01-05 02:50:21,231.4,1,1
105,1102,0,2017-01-05 03:02:40,292.0,0,1
106,1103,0,2017-01-05 04:38:15,198.0,1,1
107,1104,0,2017-01-05 04:47:15,112.6,1,1
108,1105,0,2017-01-05 05:29:10,486.1,1,1
109,1106,0,2017-01-05 13:59:34,324.0,1,1
110,1107,0,2017-01-05 15:32:02,540.02,0,1
111,1108,0,2017-01-05 17:17:47,496.0,1,1
112,1109,1,2017-01-05 18:00:10,142.0,0,1
113,1110,1,2017-01-05 18:59:23,188.0,1,1
114,1111,0,2017-01-05 20:01:51,356.0,0,1
115,1112,1,2017-01-05 20:03:24,258.0,1,1
116,1113,0,2017-01-05 21:11:35,388.0,1,1
117,1114,1,2017-01-05 21:41:11,324.45,1,1
118,1115,0,2017-01-05 21:43:24,321.4,1,1
119,1116,0,2017-01-05 23:21:46,149.0,1,1
120,1117,1,2017-01-05 23:45:05,118.0,0,1
121,1118,1,2017-01-06 00:21:22,89.0,1,1
122,1119,1,2017-01-06 01:05:17,10.0,1,1
123,1120,1,2017-01-06 01:14:57,111.52,0,1
124,1121,0,2017-01-06 01:17:37,806.0,1,1
125,1122,1,2017-01-06 01:18:55,431.15,1,1
126,1123,0,2017-01-06 01:20:30,176.8,1,1
127,1124,0,2017-01-06 01:58:01,10.89,1,1
128,1125,1,2017-01-06 02:00:36,112.6,1,1
129,1126,1,2017-01-06 02:36:57,235.17,1,1
130,1127,1,2017-01-06 03:19:35,403.6,1,1
131,1128,1,2017-01-06 04:36:16,128.5,1,1
132,1129,1,2017-01-06 05:48:34,108.0,1,1
133,1130,0,2017-01-06 06:38:02,166.0,1,1
134,1131,0,2017-01-06 16:23:49,168.0,0,1
135,1132,0,2017-01-06 16:28:34,10.0,1,1
136,1133,1,2017-01-06 16:59:19,494.68,1,1
137,1134,1,2017-01-06 17:25:34,10.0,1,1
138,1135,0,2017-01-06 17:31:36,454.0,0,1
139,1136,1,2017-01-06 18:51:29,98.5,1,1
140,1137,1,2017-01-06 19:11:23,463.82,1,1
141,1138,1,2017-01-06 19:55:36,295.6,1,1
142,1139,1,2017-01-06 20:10:12,460.0,1,1
143,1140,1,2017-01-06 20:27:43,446.0,1,1
144,1141,0,2017-01-06 20:51:15,272.0,0,1
145,1142,1,2017-01-06 21:27:31,187.0,1,1
146,1075,1,2017-01-06 21:33:03,215.57,1,1
147,1143,1,2017-01-06 23:37:03,2007.19,1,1
148,1144,1,2017-01-06 23:54:34,158.5,1,1
149,1145,1,2017-01-07 00:21:43,480.1,1,1
150,1146,1,2017-01-07 02:22:34,76.0,1,1
151,1147,0,2017-01-07 04:06:20,199.02,0,1
152,1148,0,2017-01-07 04:26:30,1457.26,0,1
153,1149,0,2017-01-07 06:48:46,100.0,0,1
154,1023,0,2017-01-07 10:43:54,166.0,1,1
155,1150,0,2017-01-07 12:39:35,428.0,0,1
156,1151,1,2017-01-07 13:56:40,10.0,1,1
157,1152,0,2017-01-07 14:17:25,388.47,0,1
158,1153,1,2017-01-07 14:56:08,10.89,1,1
159,1154,0,2017-01-07 15:07:05,204.36,1,1
160,1155,0,2017-01-07 15:57:20,356.0,1,1
161,1156,1,2017-01-07 16:23:08,439.64,1,1
162,1157,1,2017-01-07 16:32:35,134.0,1,1
163,1158,1,2017-01-07 16:48:12,184.15,1,1
164,1159,0,2017-01-07 17:09:44,142.0,1,1
165,1160,1,2017-01-07 18:36:49,250.0,1,1
166,1161,1,2017-01-07 18:38:37,400.87,1,1
167,1162,0,2017-01-07 18:43:06,139.0,0,1
168,1163,0,2017-01-07 19:09:30,182.8,1,1
169,1164,0,2017-01-07 19:43:43,747.5,0,1
170,1165,1,2017-01-07 22:41:56,234.0,0,1
171,1102,0,2017-01-07 23:15:32,235.6,0,1
172,1166,0,2017-01-07 23:26:20,491.5,0,1
173,1166,0,2017-01-07 23:40:27,278.0,0,1
174,1167,1,2017-01-07 23:50:49,122.8,1,1
175,1095,1,2017-01-08 00:17:01,284.8,1,1
176,1168,1,2017-01-08 00:41:56,193.8,1,1
177,1169,1,2017-01-08 01:07:59,248.0,0,1
178,1170,0,2017-01-08 01:17:33,757.8,1,1
179,1171,0,2017-01-08 02:07:25,316.3,0,1
180,1172,0,2017-01-08 04:39:59,148.0,1,1
181,1173,1,2017-01-08 14:36:08,206.0,1,1
182,1174,1,2017-01-08 15:57:43,278.2,1,1
183,1175,0,2017-01-08 16:27:59,253.91,1,1
184,1176,1,2017-01-08 16:48:39,281.3,1,1
185,1177,1,2017-01-08 17:46:11,339.6,1,1
186,1178,0,2017-01-08 18:37:48,926.92,1,1
187,1179,1,2017-01-08 19:02:30,182.8,1,1
188,1180,0,2017-01-08 20:13:49,10.8,0,1
189,1181,1,2017-01-08 21:47:00,165.2,1,1
190,1182,1,2017-01-08 22:19:34,197.0,1,1
191,1183,0,2017-01-08 22:52:06,592.0,0,1
